"","delta.Deaths","delta.YLL","delta.YLD","DALYS",""
"total","-0.0580453581950879","-0.425370650269491","-0.114823240229214","-0.540193890498705",""
"proportion","-0.029022679097544","-0.0182321554511633","-0.0181997843982692","-0.0182252759961606",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","NHO"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","-0.000256975796264491","-0.0119904647463542","-0.0130537362612131","-0.0250442010075673",""
"maleAgeClass 5","-0.012078929387485","-0.403482405427553","-0.148761212606303","-0.552243618033856",""
"maleAgeClass 6","-0.0228083804945811","-0.528137044650293","-0.132862198354673","-0.660999243004966",""
"maleAgeClass 7","-0.0797989517059605","-1.16418354863384","-0.266773392283483","-1.43095694091733",""
"maleAgeClass 8","-0.265617864040394","-1.69070751564084","-0.463259022847524","-2.15396653848836",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","-0.000141838626865398","-0.00871711381317652","-0.101178015609065","-0.109895129422242",""
"femaleAgeClass 4","-0.000956660093634376","-0.044710640743105","-0.0875693954897656","-0.132280036232871",""
"femaleAgeClass 5","-0.00986987710896692","-0.329924265204284","-0.249914434304856","-0.579838699509139",""
"femaleAgeClass 6","-0.0153421407256005","-0.3536261574381","-0.163158247644134","-0.516784405082234",""
"femaleAgeClass 7","-0.0389368964149952","-0.560961797666323","-0.201828896213613","-0.762790693879936",""
"femaleAgeClass 8","0.0596959303641427","0.326871518724829","0.113084202020502","0.439955720745331",""
"total","-0.00332046094573563","-0.0739951858013974","-0.0325544143186298","-0.106549600120027",""
"proportion","-0.000355763672757389","-0.000467556086693885","-0.000528091221163632","-0.000484525932600182",""
""," "," "," "," ",""
"maleAgeClass 1","0","0","0","0","HO"
"maleAgeClass 2","0","0","0","0",""
"maleAgeClass 3","0","0","0","0",""
"maleAgeClass 4","-0.000256975796264491","-0.0119904647463542","-0.0130537362612131","-0.0250442010075673",""
"maleAgeClass 5","-0.012078929387485","-0.403482405427553","-0.148761212606303","-0.552243618033856",""
"maleAgeClass 6","-0.0228083804945811","-0.528137044650293","-0.132862198354673","-0.660999243004966",""
"maleAgeClass 7","-0.0797989517059605","-1.16418354863384","-0.266773392283483","-1.43095694091733",""
"maleAgeClass 8","-0.265617864040394","-1.69070751564084","-0.463259022847524","-2.15396653848836",""
"femaleAgeClass 1","0","0","0","0",""
"femaleAgeClass 2","0","0","0","0",""
"femaleAgeClass 3","-0.000141838626865398","-0.00871711381317652","-0.101178015609065","-0.109895129422242",""
"femaleAgeClass 4","-0.000956660093634376","-0.044710640743105","-0.0875693954897656","-0.132280036232871",""
"femaleAgeClass 5","-0.00986987710896692","-0.329924265204284","-0.249914434304856","-0.579838699509139",""
"femaleAgeClass 6","-0.0153421407256005","-0.3536261574381","-0.163158247644134","-0.516784405082234",""
"femaleAgeClass 7","-0.0389368964149952","-0.560961797666323","-0.201828896213613","-0.762790693879936",""
"femaleAgeClass 8","0.0596959303641427","0.326871518724829","0.113084202020502","0.439955720745331",""
"total","-0.0236576368520527","-0.296321338833677","-0.109479113081552","-0.405800451915229",""
"proportion","-0.00215069425927752","-0.00210398779771956","-0.00157986049230826","-0.00193114605965155",""
""," "," "," "," ",""
